"CODIGO  ";"DESCRICAO DO INSUMO";"UNIDADE DE MEDIDA";"ORIGEM DO PRECO";"PRECO MEDIANO R$"
"38605";"ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL                                                                                                                                                                                                                                                                                                                                                                                                  ";"UN    ";"CR";"142,15"
"11270";"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM                                                                                                                                                                                                                                                                                                                                                                                                                            ";"UN    ";"CR";"4,05"
"412";"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                             ";"UN    ";"CR";"1,18"
"414";"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM                                                                                                                                                                                                                                                                                                                                                                                                                                 ";"UN    ";"CR";"0,07"
"410";"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ";"UN    ";"CR";"0,18"
"411";"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ";"UN    ";"C ";"0,23"
"408";"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ";"UN    ";"CR";"1,14"
"39131";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ";"UN    ";"CR";"5,10"
"394";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ";"UN    ";"CR";"5,17"
"39130";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ";"UN    ";"CR";"4,65"
"395";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ";"UN    ";"CR";"4,97"
"39127";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ";"UN    ";"CR";"2,45"
"392";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ";"UN    ";"CR";"2,52"
"39129";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ";"UN    ";"CR";"2,87"
"393";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ";"UN    ";"C ";"3,00"
"39133";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ";"UN    ";"CR";"6,70"
"397";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ";"UN    ";"CR";"7,40"
"39132";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ";"UN    ";"CR";"5,36"
"396";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ";"UN    ";"CR";"5,74"
"39135";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ";"UN    ";"CR";"10,72"
"39128";"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ";"UN    ";"CR";"2,68"
